CASE	ORDER	SUBORDTYPE	LEN_MC	LEN_SC	LENGTH_DIFF	CONJ	MORETHAN2CL
4777	sc-mc	temp	4	10	-6	als/when	no
1698	mc-sc	temp	7	6	1	als/when	no
953	sc-mc	temp	12	7	5	als/when	yes
1681	mc-sc	temp	6	15	-9	als/when	no
4055	sc-mc	temp	9	5	4	als/when	yes
967	sc-mc	temp	9	5	4	als/when	yes
2658	mc-sc	temp	9	12	-3	als/when	no
2502	sc-mc	temp	4	2	2	als/when	yes
4455	sc-mc	temp	6	24	-18	als/when	no
2368	sc-mc	temp	4	11	-7	als/when	no
1729	sc-mc	temp	15	4	11	als/when	yes
4546	sc-mc	temp	11	3	8	als/when	no
586	sc-mc	temp	10	11	-1	als/when	yes
4608	mc-sc	temp	5	11	-6	als/when	yes
935	sc-mc	temp	6	6	0	als/when	yes
2108	sc-mc	temp	9	11	-2	als/when	no
4317	mc-sc	temp	10	11	-1	als/when	no
4318	mc-sc	temp	8	7	1	als/when	no
2385	sc-mc	temp	13	7	6	als/when	no
4723	mc-sc	temp	6	13	-7	als/when	no
3267	mc-sc	temp	14	4	10	als/when	yes
4558	mc-sc	temp	5	3	2	als/when	yes
1747	sc-mc	temp	6	4	2	als/when	yes
623	sc-mc	temp	10	5	5	als/when	yes
4507	sc-mc	temp	14	20	-6	als/when	yes
138	sc-mc	temp	11	5	6	als/when	no
80	sc-mc	temp	7	3	4	als/when	yes
952	mc-sc	temp	4	5	-1	als/when	yes
2602	mc-sc	temp	2	9	-7	als/when	no
599	sc-mc	temp	7	6	1	als/when	yes
4037	sc-mc	temp	24	8	16	als/when	yes
4467	sc-mc	temp	4	10	-6	als/when	no
4324	mc-sc	temp	5	17	-12	als/when	yes
2928	mc-sc	temp	6	11	-5	als/when	no
4728	sc-mc	temp	5	9	-4	als/when	yes
4473	mc-sc	temp	4	6	-2	als/when	yes
1688	sc-mc	temp	18	18	0	als/when	yes
3805	mc-sc	temp	11	15	-4	als/when	yes
2472	sc-mc	temp	5	4	1	als/when	no
84	sc-mc	temp	10	20	-10	als/when	yes
997	mc-sc	temp	3	14	-11	als/when	no
998	sc-mc	temp	5	3	2	als/when	no
988	sc-mc	temp	10	12	-2	als/when	no
474	sc-mc	temp	8	11	-3	als/when	yes
4737	mc-sc	temp	4	4	0	als/when	yes
4523	mc-sc	temp	5	10	-5	als/when	yes
4805	sc-mc	temp	4	4	0	als/when	yes
4808	mc-sc	temp	6	5	1	als/when	no
4802	mc-sc	temp	6	7	-1	als/when	no
1063	sc-mc	temp	18	7	11	als/when	yes
4841	sc-mc	temp	3	4	-1	als/when	yes
4769	sc-mc	temp	10	7	3	als/when	yes
4531	mc-sc	temp	10	4	6	als/when	no
1677	mc-sc	temp	4	7	-3	als/when	yes
1649	sc-mc	temp	10	22	-12	als/when	yes
4813	sc-mc	temp	10	7	3	als/when	no
4882	sc-mc	temp	7	12	-5	als/when	yes
4293	mc-sc	temp	8	22	-14	als/when	yes
4544	sc-mc	temp	15	6	9	als/when	yes
4763	mc-sc	temp	6	9	-3	als/when	yes
4552	mc-sc	temp	11	2	9	als/when	no
4881	mc-sc	temp	10	6	4	als/when	no
3024	mc-sc	temp	7	17	-10	als/when	yes
2614	sc-mc	temp	9	4	5	als/when	yes
4069	sc-mc	temp	10	2	8	als/when	no
4278	sc-mc	temp	10	10	0	als/when	no
4861	mc-sc	temp	5	10	-5	als/when	no
2517	sc-mc	temp	16	4	12	als/when	no
4509	sc-mc	temp	8	3	5	als/when	no
941	sc-mc	temp	12	2	10	als/when	no
4838	sc-mc	temp	17	8	9	als/when	no
2619	sc-mc	temp	6	4	2	als/when	no
2530	mc-sc	temp	7	17	-10	als/when	yes
2485	sc-mc	temp	17	4	13	als/when	yes
4878	mc-sc	temp	5	10	-5	als/when	yes
4495	sc-mc	temp	10	7	3	als/when	no
4458	sc-mc	temp	9	5	4	als/when	yes
4468	sc-mc	temp	7	6	1	als/when	yes
4859	sc-mc	temp	5	2	3	als/when	yes
4610	sc-mc	temp	9	7	2	als/when	yes
1017	mc-sc	temp	3	14	-11	als/when	yes
4568	sc-mc	temp	7	16	-9	als/when	yes
1638	mc-sc	temp	5	5	0	als/when	yes
1256	mc-sc	temp	4	5	-1	als/when	no
1938	mc-sc	temp	4	3	1	als/when	yes
1724	mc-sc	temp	3	3	0	als/when	no
964	mc-sc	temp	6	3	3	als/when	no
1784	sc-mc	temp	5	6	-1	als/when	yes
1661	mc-sc	temp	8	5	3	als/when	no
619	sc-mc	temp	12	6	6	als/when	yes
4503	sc-mc	temp	11	8	3	als/when	no
4604	sc-mc	temp	4	3	1	als/when	no
4778	sc-mc	temp	4	10	-6	als/when	yes
3617	sc-mc	temp	12	5	7	bevor/before	yes
450	sc-mc	temp	17	14	3	bevor/before	yes
1117	sc-mc	temp	3	7	-4	bevor/before	yes
2383	sc-mc	temp	3	5	-2	bevor/before	yes
2018	sc-mc	temp	8	5	3	bevor/before	yes
2574	sc-mc	temp	3	4	-1	bevor/before	yes
131	mc-sc	temp	5	8	-3	bevor/before	no
2382	mc-sc	temp	5	6	-1	bevor/before	no
4672	mc-sc	temp	4	6	-2	bevor/before	yes
2017	mc-sc	temp	11	6	5	bevor/before	yes
3570	mc-sc	temp	11	9	2	bevor/before	no
5052	mc-sc	temp	8	12	-4	bevor/before	no
4897	mc-sc	temp	7	2	5	bevor/before	yes
1783	mc-sc	temp	11	19	-8	bevor/before	yes
4670	sc-mc	temp	10	6	4	bevor/before	no
3926	sc-mc	temp	7	10	-3	bevor/before	no
3701	mc-sc	temp	19	13	6	bevor/before	no
4974	mc-sc	temp	9	5	4	bevor/before	no
2822	sc-mc	temp	7	9	-2	bevor/before	no
5051	sc-mc	temp	6	13	-7	bevor/before	yes
452	sc-mc	temp	10	7	3	bevor/before	no
1184	mc-sc	temp	23	6	17	bevor/before	yes
3489	mc-sc	temp	5	8	-3	bevor/before	no
4896	mc-sc	temp	24	5	19	bevor/before	yes
3616	sc-mc	temp	6	5	1	bevor/before	yes
2820	mc-sc	temp	12	9	3	bevor/before	yes
3925	sc-mc	temp	10	11	-1	bevor/before	yes
2818	mc-sc	temp	9	6	3	bevor/before	no
5053	sc-mc	temp	9	8	1	bevor/before	no
2825	mc-sc	temp	17	4	13	bevor/before	yes
1118	sc-mc	temp	4	3	1	bevor/before	yes
2576	mc-sc	temp	7	3	4	bevor/before	no
141	mc-sc	temp	11	4	7	bevor/before	no
2819	mc-sc	temp	13	4	9	bevor/before	no
2456	mc-sc	temp	6	13	-7	bevor/before	no
4673	mc-sc	temp	10	17	-7	bevor/before	no
1182	mc-sc	temp	18	8	10	bevor/before	no
904	mc-sc	temp	6	4	2	bevor/before	yes
4898	mc-sc	temp	4	3	1	bevor/before	no
2648	mc-sc	temp	6	4	2	bevor/before	yes
4671	mc-sc	temp	9	8	1	bevor/before	no
905	mc-sc	temp	16	5	11	bevor/before	no
4899	sc-mc	temp	15	3	12	bevor/before	yes
130	sc-mc	temp	10	5	5	bevor/before	yes
454	sc-mc	temp	17	6	11	bevor/before	no
2575	mc-sc	temp	5	9	-4	bevor/before	no
4675	mc-sc	temp	4	8	-4	nachdem/after	no
2834	sc-mc	temp	6	12	-6	nachdem/after	yes
2849	sc-mc	temp	13	14	-1	nachdem/after	yes
1855	sc-mc	temp	8	7	1	nachdem/after	yes
2838	mc-sc	temp	10	14	-4	nachdem/after	yes
4151	mc-sc	temp	3	8	-5	nachdem/after	yes
2459	sc-mc	temp	16	5	11	nachdem/after	yes
4154	mc-sc	temp	12	9	3	nachdem/after	yes
4148	sc-mc	temp	7	21	-14	nachdem/after	no
2024	sc-mc	temp	7	14	-7	nachdem/after	yes
456	mc-sc	temp	17	7	10	nachdem/after	no
1285	sc-mc	temp	18	14	4	nachdem/after	yes
2832	mc-sc	temp	10	7	3	nachdem/after	no
62	mc-sc	temp	8	20	-12	nachdem/after	no
4144	mc-sc	temp	8	21	-13	nachdem/after	no
10	sc-mc	temp	16	15	1	nachdem/after	yes
4453	sc-mc	temp	7	16	-9	nachdem/after	yes
3764	sc-mc	temp	14	18	-4	nachdem/after	yes
2839	sc-mc	temp	6	4	2	nachdem/after	yes
2830	mc-sc	temp	13	11	2	nachdem/after	yes
4149	sc-mc	temp	3	7	-4	nachdem/after	yes
4155	mc-sc	temp	14	8	6	nachdem/after	yes
4145	mc-sc	temp	12	15	-3	nachdem/after	no
2835	mc-sc	temp	15	10	5	nachdem/after	no
4159	sc-mc	temp	9	6	3	nachdem/after	yes
9	sc-mc	temp	8	29	-21	nachdem/after	yes
2020	sc-mc	temp	11	6	5	nachdem/after	yes
2846	mc-sc	temp	7	14	-7	nachdem/after	no
3927	sc-mc	temp	6	8	-2	nachdem/after	no
2841	mc-sc	temp	15	13	2	nachdem/after	yes
223	sc-mc	temp	6	5	1	nachdem/after	no
4143	sc-mc	temp	6	9	-3	nachdem/after	yes
4156	mc-sc	temp	12	11	1	nachdem/after	yes
458	sc-mc	temp	12	21	-9	nachdem/after	yes
4680	mc-sc	temp	5	5	0	nachdem/after	no
3210	sc-mc	temp	12	10	2	nachdem/after	no
4674	sc-mc	temp	10	12	-2	nachdem/after	yes
4679	sc-mc	temp	22	17	5	nachdem/after	no
4677	sc-mc	temp	17	8	9	nachdem/after	no
3490	sc-mc	temp	15	10	5	nachdem/after	no
2579	sc-mc	temp	15	7	8	nachdem/after	no
4681	sc-mc	temp	3	4	-1	nachdem/after	yes
2845	sc-mc	temp	13	14	-1	nachdem/after	no
1555	sc-mc	temp	5	4	1	nachdem/after	no
63	sc-mc	temp	31	13	18	nachdem/after	no
3928	mc-sc	temp	5	4	1	nachdem/after	yes
2844	mc-sc	temp	11	11	0	nachdem/after	no
2847	sc-mc	temp	7	9	-2	nachdem/after	yes
3763	sc-mc	temp	12	5	7	nachdem/after	yes
2842	sc-mc	temp	8	10	-2	nachdem/after	yes
2831	mc-sc	temp	4	12	-8	nachdem/after	yes
2577	sc-mc	temp	4	6	-2	nachdem/after	yes
3211	mc-sc	temp	8	8	0	nachdem/after	yes
4902	mc-sc	temp	5	8	-3	nachdem/after	no
2837	sc-mc	temp	9	7	2	nachdem/after	no
2458	sc-mc	temp	29	4	25	nachdem/after	no
4146	mc-sc	temp	6	9	-3	nachdem/after	yes
4152	sc-mc	temp	8	5	3	nachdem/after	no
4153	sc-mc	temp	10	6	4	nachdem/after	yes
2827	mc-sc	temp	5	14	-9	nachdem/after	yes
4147	mc-sc	temp	22	7	15	nachdem/after	no
2457	sc-mc	temp	13	4	9	nachdem/after	yes
2840	mc-sc	temp	10	15	-5	nachdem/after	no
1186	mc-sc	temp	9	6	3	nachdem/after	no
4452	sc-mc	temp	28	12	16	nachdem/after	yes
2731	mc-sc	caus	9	4	5	weil/because	yes
332	sc-mc	caus	9	7	2	weil/because	no
3547	mc-sc	caus	19	7	12	weil/because	yes
4092	mc-sc	caus	7	15	-8	weil/because	yes
4078	mc-sc	caus	8	7	1	weil/because	no
2409	mc-sc	caus	6	13	-7	weil/because	no
326	mc-sc	caus	6	9	-3	weil/because	yes
1795	mc-sc	caus	7	11	-4	weil/because	yes
823	mc-sc	caus	5	23	-18	weil/because	yes
2754	mc-sc	caus	10	7	3	weil/because	no
4646	mc-sc	caus	15	14	1	weil/because	no
2751	mc-sc	caus	13	4	9	weil/because	no
4341	mc-sc	caus	8	8	0	weil/because	no
324	mc-sc	caus	4	17	-13	weil/because	no
4087	mc-sc	caus	5	8	-3	weil/because	no
2746	mc-sc	caus	9	10	-1	weil/because	yes
1796	mc-sc	caus	8	22	-14	weil/because	no
3546	mc-sc	caus	6	9	-3	weil/because	no
4633	mc-sc	caus	6	9	-3	weil/because	yes
1809	mc-sc	caus	11	20	-9	weil/because	yes
1432	mc-sc	caus	10	8	2	weil/because	no
327	mc-sc	caus	14	5	9	weil/because	no
330	mc-sc	caus	8	5	3	weil/because	yes
341	mc-sc	caus	9	10	-1	weil/because	yes
1799	mc-sc	caus	3	7	-4	weil/because	no
329	mc-sc	caus	6	15	-9	weil/because	yes
1808	mc-sc	caus	9	7	2	weil/because	yes
4339	mc-sc	caus	12	2	10	weil/because	no
2421	mc-sc	caus	5	5	0	weil/because	yes
1103	mc-sc	caus	16	7	9	weil/because	no
2742	mc-sc	caus	5	5	0	weil/because	yes
3889	mc-sc	caus	16	15	1	weil/because	yes
2552	mc-sc	caus	7	6	1	weil/because	yes
4629	mc-sc	caus	8	9	-1	weil/because	yes
4081	mc-sc	caus	14	19	-5	weil/because	no
4090	mc-sc	caus	8	11	-3	weil/because	no
2728	mc-sc	caus	4	4	0	weil/because	yes
122	mc-sc	caus	3	3	0	weil/because	yes
1307	mc-sc	caus	8	8	0	weil/because	yes
2752	mc-sc	caus	13	16	-3	weil/because	no
4110	mc-sc	caus	15	6	9	weil/because	yes
2662	mc-sc	caus	5	13	-8	weil/because	no
2732	mc-sc	caus	7	7	0	weil/because	yes
4099	mc-sc	caus	9	7	2	weil/because	yes
351	mc-sc	caus	9	20	-11	weil/because	yes
4097	mc-sc	caus	17	18	-1	weil/because	yes
4089	mc-sc	caus	6	8	-2	weil/because	yes
2729	mc-sc	caus	9	8	1	weil/because	yes
3171	mc-sc	caus	12	4	8	weil/because	yes
3166	mc-sc	caus	4	11	-7	weil/because	no
821	mc-sc	caus	7	13	-6	weil/because	no
2005	sc-mc	caus	6	10	-4	weil/because	no
1441	mc-sc	caus	15	7	8	weil/because	no
4335	mc-sc	caus	9	6	3	weil/because	yes
349	mc-sc	caus	14	12	2	weil/because	no
316	mc-sc	caus	10	7	3	weil/because	no
3542	mc-sc	caus	17	23	-6	weil/because	yes
2550	mc-sc	caus	6	6	0	weil/because	no
2748	mc-sc	caus	7	10	-3	weil/because	no
825	mc-sc	caus	11	10	1	weil/because	yes
3552	mc-sc	caus	8	5	3	weil/because	no
3184	mc-sc	caus	5	6	-1	weil/because	yes
3993	mc-sc	caus	5	7	-2	weil/because	yes
2	mc-sc	caus	24	11	13	weil/because	no
2736	mc-sc	caus	6	10	-4	weil/because	yes
3173	mc-sc	caus	7	6	1	weil/because	yes
3176	mc-sc	caus	11	9	2	weil/because	yes
1804	mc-sc	caus	26	13	13	weil/because	yes
4338	mc-sc	caus	11	10	1	weil/because	no
4094	mc-sc	caus	17	17	0	weil/because	no
2422	mc-sc	caus	19	10	9	weil/because	yes
2741	sc-mc	caus	6	8	-2	weil/because	no
4080	mc-sc	caus	9	8	1	weil/because	no
4084	mc-sc	caus	16	13	3	weil/because	no
3545	mc-sc	caus	17	12	5	weil/because	no
1442	sc-mc	caus	11	9	2	weil/because	yes
3179	sc-mc	caus	7	5	2	weil/because	yes
1304	mc-sc	caus	5	10	-5	weil/because	no
3177	mc-sc	caus	5	6	-1	weil/because	yes
3549	mc-sc	caus	6	18	-12	weil/because	yes
3543	mc-sc	caus	9	13	-4	weil/because	yes
1100	mc-sc	caus	11	18	-7	weil/because	yes
1309	mc-sc	caus	5	10	-5	weil/because	yes
2740	mc-sc	caus	6	13	-7	weil/because	yes
328	mc-sc	caus	7	5	2	weil/because	yes
4100	mc-sc	caus	7	8	-1	weil/because	no
2418	mc-sc	caus	4	8	-4	weil/because	yes
2554	mc-sc	caus	8	5	3	weil/because	no
1810	mc-sc	caus	13	15	-2	weil/because	yes
1440	mc-sc	caus	10	9	1	weil/because	yes
2423	mc-sc	caus	14	13	1	weil/because	yes
4098	mc-sc	caus	6	9	-3	weil/because	yes
3170	mc-sc	caus	3	8	-5	weil/because	no
2758	mc-sc	caus	7	10	-3	weil/because	no
2405	mc-sc	caus	6	5	1	weil/because	no
1779	mc-sc	caus	9	16	-7	weil/because	no
4107	mc-sc	caus	7	10	-3	weil/because	yes
1803	mc-sc	caus	18	9	9	weil/because	no
1308	mc-sc	caus	10	10	0	weil/because	no
1811	mc-sc	caus	16	6	10	weil/because	yes
101	mc-sc	caus	31	16	15	weil/because	yes
3178	sc-mc	caus	4	19	-15	weil/because	yes
3994	mc-sc	caus	5	6	-1	weil/because	no
2420	mc-sc	caus	9	4	5	weil/because	yes
4642	mc-sc	caus	8	5	3	weil/because	no
333	mc-sc	caus	4	21	-17	weil/because	no
339	mc-sc	caus	9	29	-20	weil/because	no
2663	mc-sc	caus	5	21	-16	weil/because	no
3169	mc-sc	caus	7	8	-1	weil/because	yes
2543	sc-mc	caus	6	5	1	weil/because	yes
2553	mc-sc	caus	6	7	-1	weil/because	yes
322	mc-sc	caus	4	9	-5	weil/because	no
1272	mc-sc	caus	23	5	18	weil/because	no
321	mc-sc	caus	10	13	-3	weil/because	yes
4334	mc-sc	caus	6	5	1	weil/because	yes
2756	mc-sc	caus	10	7	3	weil/because	no
4648	mc-sc	caus	11	17	-6	weil/because	no
2750	mc-sc	caus	9	16	-7	weil/because	no
3551	mc-sc	caus	27	17	10	weil/because	yes
4108	mc-sc	caus	7	12	-5	weil/because	yes
3744	mc-sc	caus	14	4	10	weil/because	no
2749	mc-sc	caus	7	9	-2	weil/because	no
822	mc-sc	caus	3	11	-8	weil/because	no
4103	mc-sc	caus	4	12	-8	weil/because	yes
323	sc-mc	caus	12	9	3	weil/because	yes
102	mc-sc	caus	15	15	0	weil/because	yes
2664	mc-sc	caus	7	7	0	weil/because	yes
3746	mc-sc	caus	6	9	-3	weil/because	yes
4105	mc-sc	caus	10	5	5	weil/because	no
1434	mc-sc	caus	6	5	1	weil/because	no
348	sc-mc	caus	9	6	3	weil/because	yes
347	mc-sc	caus	3	3	0	weil/because	yes
3550	mc-sc	caus	9	5	4	weil/because	yes
4085	mc-sc	caus	3	5	-2	weil/because	no
1104	mc-sc	caus	7	10	-3	weil/because	no
4637	mc-sc	caus	14	8	6	weil/because	no
4636	mc-sc	caus	10	6	4	weil/because	no
343	mc-sc	caus	3	7	-4	weil/because	yes
345	sc-mc	caus	6	5	1	weil/because	yes
3168	sc-mc	caus	11	11	0	weil/because	yes
103	mc-sc	caus	20	19	1	weil/because	no
4639	mc-sc	caus	15	5	10	weil/because	yes
3845	mc-sc	caus	4	11	-7	weil/because	yes
3548	mc-sc	caus	15	14	1	weil/because	yes
2747	mc-sc	caus	3	26	-23	weil/because	yes
3181	mc-sc	caus	18	5	13	weil/because	no
1429	sc-mc	caus	5	4	1	weil/because	no
4643	mc-sc	caus	15	5	10	weil/because	no
2735	mc-sc	caus	5	10	-5	weil/because	no
1793	mc-sc	caus	12	17	-5	weil/because	yes
1439	mc-sc	caus	13	9	4	weil/because	yes
1792	mc-sc	caus	7	8	-1	weil/because	no
1305	mc-sc	caus	6	5	1	weil/because	yes
831	mc-sc	caus	7	9	-2	weil/because	yes
2406	mc-sc	caus	9	10	-1	weil/because	no
4640	mc-sc	caus	4	36	-32	weil/because	yes
2734	mc-sc	caus	9	9	0	weil/because	no
4079	mc-sc	caus	10	16	-6	weil/because	no
4101	mc-sc	caus	5	8	-3	weil/because	no
820	mc-sc	caus	5	20	-15	weil/because	no
1800	mc-sc	caus	6	14	-8	weil/because	no
824	mc-sc	caus	6	6	0	weil/because	yes
2226	mc-sc	caus	8	17	-9	weil/because	no
4631	mc-sc	caus	5	12	-7	weil/because	no
3890	mc-sc	caus	9	5	4	weil/because	no
2006	mc-sc	caus	5	7	-2	weil/because	yes
3167	mc-sc	caus	5	6	-1	weil/because	no
2545	mc-sc	caus	11	9	2	weil/because	yes
4102	mc-sc	caus	12	13	-1	weil/because	no
342	mc-sc	caus	10	15	-5	weil/because	no
3745	mc-sc	caus	8	10	-2	weil/because	yes
352	sc-mc	caus	8	20	-12	weil/because	no
3180	sc-mc	caus	11	8	3	weil/because	yes
4093	mc-sc	caus	15	17	-2	weil/because	no
2551	mc-sc	caus	7	4	3	weil/because	yes
2425	mc-sc	caus	4	3	1	weil/because	yes
4106	mc-sc	caus	7	9	-2	weil/because	no
2640	mc-sc	caus	8	4	4	weil/because	no
5043	mc-sc	caus	8	8	0	weil/because	yes
4647	mc-sc	caus	5	6	-1	weil/because	no
2737	mc-sc	caus	8	14	-6	weil/because	yes
1433	mc-sc	caus	5	2	3	weil/because	no
1797	mc-sc	caus	7	5	2	weil/because	yes
4109	mc-sc	caus	7	14	-7	weil/because	yes
1798	mc-sc	caus	19	9	10	weil/because	yes
354	mc-sc	caus	9	18	-9	weil/because	yes
355	mc-sc	caus	17	18	-1	weil/because	yes
2743	mc-sc	caus	8	9	-1	weil/because	yes
3182	mc-sc	caus	24	6	18	weil/because	yes
4638	mc-sc	caus	9	7	2	weil/because	yes
2757	mc-sc	caus	7	6	1	weil/because	no
829	mc-sc	caus	7	6	1	weil/because	yes
318	mc-sc	caus	3	11	-8	weil/because	yes
4644	mc-sc	caus	9	11	-2	weil/because	no
1794	mc-sc	caus	13	23	-10	weil/because	no
4095	mc-sc	caus	10	7	3	weil/because	yes
2733	mc-sc	caus	8	5	3	weil/because	yes
350	mc-sc	caus	8	11	-3	weil/because	no
208	sc-mc	caus	9	6	3	weil/because	yes
